bank,bank_id,year,ori_score,fitted,residual,leverage,cooks_distance,studentized_residual,high_cooks_distance
Absa Bank Ghana PLC,ABSA_BANK_GHANA_PLC,2024,100.0,99.54119736251599,0.4588026374840126,0.26036657136473773,7.247096152718321e-05,0.07400826847753951,False
First Atlantic Bank PLC,FIRST_ATLANTIC_BANK_PLC,2021,87.5,87.13328284139729,0.3667171586027109,0.29883796822106484,5.913185533863223e-05,0.06075455587580334,False
Societe Generale Ghana PLC,SOCIETE_GENERALE_GHANA_PLC,2021,100.0,99.60636746071401,0.3936325392859885,0.24489125916650734,4.8138917862072086e-05,0.06284111667077344,False
Access Bank (Ghana) PLC,ACCESS_BANK_GHANA_PLC,2023,100.0,99.64759569896363,0.35240430103637266,0.25291762010073937,4.0708448472309985e-05,0.0565603611353227,False
Fidelity Bank Ghana Limited,FIDELITY_BANK_GHANA_LIMITED,2020,100.0,99.65703470200766,0.3429652979923361,0.2456153140061051,3.672232106216643e-05,0.05477827157490931,False
Zenith Bank (Ghana) Limited,ZENITH_BANK_GHANA_LIMITED,2022,75.0,75.3300338462065,-0.3300338462065042,0.24070708160303747,3.289630960909307e-05,-0.052542121633222055,False
Fidelity Bank Ghana Limited,FIDELITY_BANK_GHANA_LIMITED,2021,100.0,100.29946602707379,-0.299466027073791,0.23784190415052825,2.6561549787260563e-05,-0.04758578286075195,False
Fidelity Bank Ghana Limited,FIDELITY_BANK_GHANA_LIMITED,2025,100.0,99.71909904593866,0.2809009540613374,0.23972266171155457,2.3671810688309947e-05,0.044690839917371356,False
Guaranty Trust Bank (Ghana) Limited,GUARANTY_TRUST_BANK_GHANA_LIMITED,2022,75.0,75.28569191426725,-0.2856919142672467,0.23230189074982013,2.3271680788961983e-05,-0.045232875471164884,False
Absa Bank Ghana PLC,ABSA_BANK_GHANA_PLC,2023,100.0,99.82892761692987,0.1710723830701255,0.31330571117884987,1.406569842512894e-05,0.02863819869324194,False
Zenith Bank (Ghana) Limited,ZENITH_BANK_GHANA_LIMITED,2021,75.0,74.80556744850938,0.1944325514906211,0.2510753352210213,1.2241250492740518e-05,0.03116720869968988,False
Ecobank Ghana PLC,ECOBANK_GHANA_PLC,2023,87.5,87.703243921215,-0.20324392121500523,0.23422653548940747,1.1935226062944382e-05,-0.03221926473941873,False
Fidelity Bank Ghana Limited,FIDELITY_BANK_GHANA_LIMITED,2023,100.0,99.81889092680763,0.18110907319237413,0.238580466735965,9.763989928678309e-06,0.02879225899321394,False
Guaranty Trust Bank (Ghana) Limited,GUARANTY_TRUST_BANK_GHANA_LIMITED,2023,75.0,74.82225358962647,0.17774641037352978,0.2403064984177512,9.515912071577987e-06,0.02828974802228214,False
Zenith Bank (Ghana) Limited,ZENITH_BANK_GHANA_LIMITED,2020,75.0,75.08855614773086,-0.08855614773085563,0.2388138889821323,2.3381660644339723e-06,-0.014080522902285066,False
Standard Chartered Bank Ghana PLC,STANDARD_CHARTERED_BANK_GHANA_PLC,2022,100.0,99.92059031315497,0.07940968684502536,0.2564610633691532,2.1160261181085026e-06,0.012775179372183355,False
