firm_size_c,firm_size_ln_assets,marginal_effect,ci_lower_95,ci_upper_95
0.17519403051781302,23.40254512784664,-12.813318876736062,-32.949587082165145,7.322949328693021
0.19567339201873857,23.42302448934757,-12.519666282893311,-33.17734490215989,8.138012336373261
0.21615275351966412,23.443503850848494,-12.226013689050562,-33.4183315038242,8.966304125723076
0.23663211502058967,23.46398321234942,-11.932361095207813,-33.671570890354005,9.806848699938381
0.2571114765215152,23.484462573850344,-11.638708501365064,-33.93616150393753,10.6587445012074
0.277590838022441,23.50494193535127,-11.345055907522312,-34.21127199186856,11.521160176823933
0.29807019952336655,23.525421296852194,-11.051403313679561,-34.49613673847332,12.393330111114196
0.3185495610242921,23.54590065835312,-10.757750719836812,-34.790051326162605,13.274549886488982
0.33902892252521766,23.566380019854044,-10.464098125994063,-35.09236804565168,14.16417179366356
0.3595082840261432,23.586859381354973,-10.170445532151312,-35.40249154050659,15.06160047620396
0.379987645527069,23.607338742855898,-9.876792938308562,-35.719874643661385,15.966288767044258
0.40046700702799454,23.627818104356823,-9.58314034446581,-36.04401444228928,16.87773375335766
0.4209463685289201,23.64829746585775,-9.289487750623062,-36.374448591313374,17.795473090067254
0.44142573002984564,23.668776827358673,-8.995835156780313,-36.71075188391717,18.71908157035654
0.4619050915307712,23.6892561888596,-8.702182562937562,-37.05253307879666,19.648167952921533
0.48238445303169697,23.709735550360524,-8.408529969094811,-37.39943197785531,20.582372039665685
0.5028638145326225,23.730214911861452,-8.11487737525206,-37.751116743980575,21.521361993476454
0.5233431760335481,23.750694273362377,-7.821224781409311,-38.107281445972525,22.464831883153906
0.5438225375344736,23.771173634863302,-7.5275721875665615,-38.46764381623662,23.412499441103492
0.5643018990353992,23.791652996364228,-7.233919593723812,-38.83194320620426,24.36410401875664
0.584781260536325,23.812132357865153,-6.940266999881059,-39.19993872437402,25.3194047246119
0.6052606220372505,23.832611719366078,-6.64661440603831,-39.57140754219588,26.278178730119258
0.6257399835381761,23.853091080867003,-6.352961812195561,-39.94614335361889,27.240219729227775
0.6462193450391016,23.873570442367928,-6.059309218352812,-40.32395497488767,28.20533653818205
0.6666987065400272,23.894049803868857,-5.765656624510061,-40.70466507203413,29.173351823014006
0.6871780680409529,23.914529165369782,-5.472004030667309,-41.088109004415266,30.14410094308065
0.7076574295418785,23.935008526870707,-5.17835143682456,-41.47413377355687,31.11743089990775
0.728136791042804,23.955487888371632,-4.884698842981811,-41.86259706745372,32.093199381490095
0.7486161525437296,23.975967249872557,-4.591046249139062,-42.253366391330204,33.07127389305208
0.7690955140446551,23.996446611373482,-4.297393655296311,-42.64631827667167,34.05153096607905
0.7895748755455809,24.01692597287441,-4.0037410614535585,-43.04133756109096,35.03385543818384
0.8100542370465065,24.037405334375336,-3.7100884676108095,-43.438316732292,36.01813979707038
0.830533598547432,24.05788469587626,-3.4164358737680605,-43.83715533003535,37.004283582499234
0.8510129600483576,24.078364057377186,-3.1227832799253097,-44.23775940059764,37.99219284074702
0.8714923215492831,24.09884341887811,-2.8291306860825607,-44.64004099875318,38.98177962658805
0.8919716830502089,24.119322780379036,-2.535478092239808,-45.04391773279184,39.97296154831223
0.9124510445511345,24.13980214187996,-2.241825498397059,-45.44931234852831,40.9656613517342
0.93293040605206,24.160281503380887,-1.9481729045543101,-45.85615234865551,41.95980653954689
0.9534097675529856,24.180760864881815,-1.6545203107115594,-46.26436964415475,42.955329022731625
0.9738891290539113,24.20124022638274,-1.3608677168688068,-46.673900234798225,43.952164801060604
0.9943684905548369,24.221719587883666,-1.0672151230260578,-47.084683916071334,44.950253670019215
1.0148478520557624,24.24219894938459,-0.7735625291833088,-47.49666401010388,45.94953895173726
1.035327213556688,24.262678310885516,-0.4799099353405598,-47.909787118435254,46.94996724775414
